Taxonomic_name,Network,O.NET,Site,N,phylum,class,order,family,genus,Resolved.to,node
Acari,LO.KERN,KERN,10038,152,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10052,200,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10049,256,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10037,282.6666667,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10044,480,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10035,576,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10048,808,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10056,856,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10054,1657.6,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10040,1962.666666,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10055,6688,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,LO.KERN,KERN,10041,9706.666667,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10039,72.72727273,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10034,296,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10030,345.6,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10029,428,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10032,453.8181818,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10031,576,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10033,1301.333333,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10053,2218.666666,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10046,2368,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,UP.KERN,KERN,10047,2880,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acentrella,CASCADE,CASCADE,CLS2_3,9.00090009,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,CASCADE,CASCADE,CLS3_3,9.00090009,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS2_1,31.50315032,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS2_3,9.00090009,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS3_2,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS3_3,9.00090009,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS4_2,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS4_3,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS5_1,13.50135014,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS7_3,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS8_2,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,EVO,EVO,ELS8_3,9.00090009,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,RAE,BUBBS,RLS5_1,22.50225023,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,RAE,BUBBS,RLS6_1,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,YOUNG,YOUNG,YLS2_2_3,31.50315032,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Acentrella,ROCK,ROCK,RCLS8.5,1.388888889,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,Genus,Acentrella
Aedes,CASCADE,CASCADE,CLS3_1,4.500450045,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Genus,Aedes
Agabus,BUBBS,BUBBS,Outlet.10477.trt.2011,5.376344086,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agabus,BUBBS,BUBBS,Outlet.10477.trt.2004,7.168458781,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agabus,BUBBS,BUBBS,Outlet.11007.fishless.2011,17.32377539,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agabus,BUBBS,BUBBS,Outlet.11007.fishless.2004,27.479092,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agabus,BUBBS,BUBBS,Outlet.11007.fishless.2003,41.21863799,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agabus,EVO,EVO,ELS2_3,4.500450045,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agabus,UP.KERN,KERN,10031,4,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agraylea,BUBBS,BUBBS,Outlet.10494.trt.2012,487.4551971,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,Genus,Agabus
Agraylea,CASCADE,CASCADE,CLS3_3,18.00180018,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,EVO,EVO,ELS5_2,4.500450045,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,EVO,EVO,ELS5_3,9.00090009,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,EVO,EVO,ELS6_3,4.500450045,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,EVO,EVO,ELS7_2,4.500450045,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,EVO,EVO,ELS7_3,4.500450045,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,EVO,EVO,ELS8_2,22.50225023,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,EVO,EVO,ELS8_3,18.00180018,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,ROCK,ROCK,RCLS8.2,1.388888889,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,ROCK,ROCK,RCLS7.3,2.777777778,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,ROCK,ROCK,RCLS6.3,1.388888889,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,ROCK,ROCK,RCLS5.1,1.851851852,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,ROCK,ROCK,RCLS3.5,1.111111111,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,ROCK,ROCK,RCLS3.1,1.388888889,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Agraylea,ROCK,ROCK,RCLS2.3,4.62962963,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Agraylea,Genus,Agraylea
Alloperla,LO.KERN,KERN,10044,16,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Alloperla,Genus,Alloperla
Alloperla,RAE,BUBBS,RLS4_1,18.00180018,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Alloperla,Genus,Alloperla
Allotrichoma,CASCADE,CASCADE,CLS4_1,4.500450045,Arthropoda,Insecta,Diptera,Ephydridae,Allotrichoma,Genus,Allotrichoma
Ameletus,BUBBS,BUBBS,Outlet.10477.trt.2003,1.19474313,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.10487.trt.2003,2.38948626,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.10487.trt.2004,2.38948626,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.Vidette.below.2011,7.168458781,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.10477.trt.2004,14.33691756,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.10487.trt.2011,15.13341298,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.Vidette.below.2004,185.1851852,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.Vidette.below.2003,206.6905615,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.10494.trt.2012,382.3178017,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.Vidette.below.2012,544.8028674,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,BUBBS,BUBBS,Outlet.10477.trt.2011,1033.452808,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,CASCADE,CASCADE,CLS3_1,18.00180018,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,CASCADE,CASCADE,CLS4_3,4.500450045,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,EVO,EVO,ELS2_2,72.00720072,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10052,10,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10040,10.66666667,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10056,16,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10049,24,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10041,64,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10048,80,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10038,84,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,LO.KERN,KERN,10044,256,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,UP.KERN,KERN,10030,3.2,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,UP.KERN,KERN,10031,8,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,UP.KERN,KERN,10039,14.54545455,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,UP.KERN,KERN,10047,18.28571429,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS8.5,2.777777778,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS7.7,4.62962963,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS7.3,0.925925926,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS4.1,2.222222222,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS3.3,3.333333333,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS2.6,1.388888889,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS2.4,9.722222222,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS2.3,1.851851852,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Ameletus,ROCK,ROCK,RCLS2.1,15.27777778,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,Genus,Ameletus
Amphizoa,YOUNG,YOUNG,YLS2_3_3,4.500450045,Arthropoda,Insecta,Coleoptera,Amphizoidae,Amphizoa,Genus,Amphizoa
Antocha,BUBBS,BUBBS,Outlet.Vidette.below.2012,9.557945042,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,EVO,EVO,ELS7_3,4.500450045,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,EVO,EVO,ELS8_2,9.00090009,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,RAE,BUBBS,RLS4_1,18.00180018,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,RAE,BUBBS,RLS5_1,22.50225023,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,RAE,BUBBS,RLS5_3,27.00270027,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,RAE,BUBBS,RLS6_2,4.500450045,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,ROCK,ROCK,RCLS8.7,1.388888889,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,ROCK,ROCK,RCLS3.3,1.111111111,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Antocha,ROCK,ROCK,RCLS2.5,0.854700855,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,Genus,Antocha
Apatania,BUBBS,BUBBS,Outlet.Vidette.below.2011,2.867383513,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,BUBBS,BUBBS,Outlet.Vidette.below.2004,63.91875747,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,BUBBS,BUBBS,Outlet.Vidette.below.2003,150.5376344,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,BUBBS,BUBBS,Outlet.Vidette.below.2012,712.0669056,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,CASCADE,CASCADE,CLS3_3,4.500450045,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,CASCADE,CASCADE,CLS4_2,4.500450045,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,EVO,EVO,ELS2_3,31.50315032,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,ROCK,ROCK,RCLS8.5,2.777777778,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,ROCK,ROCK,RCLS6.3,0.694444444,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Apatania,ROCK,ROCK,RCLS1.1,1.587301587,Arthropoda,Insecta,Trichoptera,Apataniidae,Apatania,Genus,Apatania
Aquarius,YOUNG,YOUNG,YLS2_3_3,13.50135014,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,Genus,Aquarius
Aquarius,YOUNG,YOUNG,YLS3_3_3,4.500450045,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,Genus,Aquarius
Acari,ROCK,ROCK,RCLS4.1,2.222222222,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,ROCK,ROCK,RCLS3.1,4.166666667,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,ROCK,ROCK,RCLS2.6,1.388888889,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,ROCK,ROCK,RCLS2.5,4.273504274,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,ROCK,ROCK,RCLS2.4,1.388888889,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,ROCK,ROCK,RCLS2.3,13.88888889,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,ROCK,ROCK,RCLS2.2,4.166666667,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Acari,ROCK,ROCK,RCLS2.1,1.388888889,Arthropoda,Arachnida,NA,NA,NA,Class,Acari
Arctocorisa,BUBBS,BUBBS,Outlet.11007.fishless.2004,0.597371565,Arthropoda,Insecta,Hemiptera,Corixidae,Arctocorisa,Genus,Arctocorisa
Arctopsyche,ROCK,ROCK,RCLS2.6,1.388888889,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Arctopsyche,Genus,Arctopsyche
Arctopsyche,ROCK,ROCK,RCLS2.4,1.388888889,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Arctopsyche,Genus,Arctopsyche
Atrichopogon,BUBBS,BUBBS,Outlet.11007.fishless.2004,1.792114695,Arthropoda,Insecta,Diptera,Ceratopogonidae,Atrichopogon,Genus,Atrichopogon
Baetis,BUBBS,BUBBS,Outlet.10477.trt.2011,5.461682881,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.11007.fishless.2004,8.363201912,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.10477.trt.2003,16.72640382,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.Vidette.below.2003,17.92114695,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.11007.fishless.2011,18.51851852,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.10477.trt.2004,50.17921147,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.11007.fishless.2003,112.3058542,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.Vidette.below.2004,161.2903226,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.10487.trt.2003,183.3930705,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.Vidette.below.2011,184.7869375,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.10487.trt.2004,248.5065711,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.10487.trt.2011,301.8717642,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.10494.trt.2012,372.7598566,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,BUBBS,BUBBS,Outlet.Vidette.below.2012,597.3715651,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS1_1,9.00090009,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS1_3,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS2_1,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS2_3,9.00090009,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS3_1,58.50585059,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS3_2,31.50315032,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS3_3,1161.116112,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS4_1,36.00360036,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS4_2,643.5643564,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS4_3,148.5148515,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,CASCADE,CASCADE,CLS5_1 ,238.5238524,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS2_1,144.0144014,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS2_2,40.50405041,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS2_3,99.00990099,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS3_1,4.500450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS3_2,13.50135014,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS3_3,58.50585059,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS4_2,45.00450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
Baetis,EVO,EVO,ELS4_3,45.00450045,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Genus,Baetis
